X Y Tilt_Depth
5238.9915 8650.0000 205.1648
5241.2209 8700.0000 205.4462
5243.3037 8750.0000 205.2870
5244.7565 8800.0000 204.8101
5244.7390 8850.0000 204.1304
5241.9108 8900.0000 203.6646
5234.1936 8950.0000 202.6597
5218.2760 9000.0000 204.3465
5200.0000 9033.0959 204.2692
5189.5121 9050.0000 204.3192
5150.0000 9091.4762 206.6677
5137.6232 9100.0000 206.7239
5100.0000 9122.6090 209.1672
5050.0000 9138.2830 211.8903
5000.0000 9142.9707 211.2913
4950.0000 9138.1898 211.9503
4900.0000 9122.3936 209.5838
4862.8725 9100.0000 207.3124
4850.0000 9091.0887 207.2056
4810.9526 9050.0000 205.3017
4800.0000 9032.2832 205.3336
4782.1965 9000.0000 205.6383
4766.2559 8950.0000 204.1394
4758.5258 8900.0000 205.6508
4755.6911 8850.0000 206.0666
4755.6710 8800.0000 206.9078
4757.1238 8750.0000 207.4448
4759.2081 8700.0000 207.6582
4761.4398 8650.0000 207.4236
4763.5719 8600.0000 206.7816
4765.4987 8550.0000 205.8273
4767.1909 8500.0000 204.6628
4768.6559 8450.0000 203.3761
4769.9163 8400.0000 202.0364
4770.9994 8350.0000 200.6942
4771.9314 8300.0000 199.3843
4772.7361 8250.0000 197.9448
4773.4339 8200.0000 197.0791
4774.0418 8150.0000 196.1370
4774.5742 8100.0000 195.2597
4775.0427 8050.0000 194.4459
4775.4571 8000.0000 193.6930
4775.8254 7950.0000 192.9973
4776.1544 7900.0000 192.3550
4776.4494 7850.0000 191.7619
4776.7152 7800.0000 191.2140
4776.9555 7750.0000 190.7076
4777.1736 7700.0000 190.2391
4777.3723 7650.0000 189.8051
4777.5539 7600.0000 189.4027
4777.7204 7550.0000 189.0291
4777.8734 7500.0000 188.6818
4778.0145 7450.0000 188.3585
4778.1448 7400.0000 188.0573
4778.2654 7350.0000 187.7762
4778.3774 7300.0000 187.5137
4778.4816 7250.0000 187.2682
4778.5785 7200.0000 187.0384
4778.6690 7150.0000 186.8230
4778.7536 7100.0000 186.6211
4778.8327 7050.0000 186.4315
4778.9068 7000.0000 186.2533
4778.9763 6950.0000 186.0858
4779.0416 6900.0000 185.9283
4779.1029 6850.0000 185.7799
4779.1606 6800.0000 185.6402
4779.2149 6750.0000 185.5085
4779.2660 6700.0000 185.3844
4779.3141 6650.0000 185.2674
4779.3595 6600.0000 185.1569
4779.4023 6550.0000 185.0528
4779.4426 6500.0000 184.9546
4779.4807 6450.0000 184.8619
4779.5166 6400.0000 184.7745
4779.5504 6350.0000 184.6920
4779.5823 6300.0000 184.6143
4779.6123 6250.0000 184.5410
4779.6406 6200.0000 184.4721
4779.6672 6150.0000 184.4072
4779.6922 6100.0000 184.3462
4779.7157 6050.0000 184.2889
4779.7377 6000.0000 184.2351
4779.7584 5950.0000 184.1848
4779.7777 5900.0000 184.1378
4779.7957 5850.0000 184.0939
4779.8124 5800.0000 184.0531
4779.8280 5750.0000 184.0152
4779.8423 5700.0000 183.9801
4779.8556 5650.0000 183.9478
4779.8677 5600.0000 183.9183
4779.8788 5550.0000 183.8913
4779.8888 5500.0000 183.8668
4779.8978 5450.0000 183.8449
4779.9058 5400.0000 183.8254
4779.9129 5350.0000 183.8083
4779.9189 5300.0000 183.7936
4779.9240 5250.0000 183.7812
4779.9282 5200.0000 183.7710
4779.9314 5150.0000 183.7632
4779.9337 5100.0000 183.7576
4779.9350 5050.0000 183.7542
4779.9355 5000.0000 183.7531
4779.9350 4950.0000 183.7543
4779.9337 4900.0000 183.7576
4779.9314 4850.0000 183.7632
4779.9281 4800.0000 183.7711
4779.9240 4750.0000 183.7812
4779.9189 4700.0000 183.7937
4779.9128 4650.0000 183.8084
4779.9058 4600.0000 183.8255
4779.8978 4550.0000 183.8451
4779.8888 4500.0000 183.8670
4779.8787 4450.0000 183.8915
4779.8676 4400.0000 183.9185
4779.8555 4350.0000 183.9481
4779.8422 4300.0000 183.9804
4779.8278 4250.0000 184.0154
4779.8123 4200.0000 184.0534
4779.7955 4150.0000 184.0942
4779.7775 4100.0000 184.1381
4779.7582 4050.0000 184.1852
4779.7376 4000.0000 184.2355
4779.7155 3950.0000 184.2893
4779.6920 3900.0000 184.3466
4779.6670 3850.0000 184.4077
4779.6403 3800.0000 184.4726
4779.6121 3750.0000 184.5416
4779.5820 3700.0000 184.6149
4779.5501 3650.0000 184.6926
4779.5163 3600.0000 184.7751
4779.4804 3550.0000 184.8626
4779.4423 3500.0000 184.9553
4779.4020 3450.0000 185.0536
4779.3592 3400.0000 185.1578
4779.3137 3350.0000 185.2683
4779.2656 3300.0000 185.3854
4779.2144 3250.0000 185.5095
4779.1601 3200.0000 185.6413
4779.1024 3150.0000 185.7811
4779.0411 3100.0000 185.9295
4778.9758 3050.0000 186.0871
4778.9062 3000.0000 186.2547
4778.8321 2950.0000 186.4329
4778.7529 2900.0000 186.6226
4778.6683 2850.0000 186.8247
4778.5778 2800.0000 187.0401
4778.4807 2750.0000 187.2701
4778.3766 2700.0000 187.5157
4778.2645 2650.0000 187.7784
4778.1438 2600.0000 188.0596
4778.0134 2550.0000 188.3610
4777.8722 2500.0000 188.6844
4777.7191 2450.0000 189.0320
4777.5525 2400.0000 189.4058
4777.3708 2350.0000 189.8085
4777.1720 2300.0000 190.2427
4776.9537 2250.0000 190.7115
4776.7131 2200.0000 191.2182
4776.4472 2150.0000 191.7664
4776.1519 2100.0000 192.3599
4775.8226 2050.0000 193.0026
4775.4540 2000.0000 193.6987
4775.0392 1950.0000 194.4521
4774.5702 1900.0000 195.2664
4774.0373 1850.0000 196.1443
4773.4287 1800.0000 197.0868
4772.7301 1750.0000 197.9529
4771.9245 1700.0000 199.3945
4770.9913 1650.0000 200.7048
4769.9070 1600.0000 202.0471
4768.6450 1550.0000 203.3866
4767.1783 1500.0000 204.6726
4765.4842 1450.0000 205.8358
4763.5555 1400.0000 206.7880
4761.4221 1350.0000 207.4271
4759.1903 1300.0000 207.6581
4757.1088 1250.0000 207.4414
4755.6639 1200.0000 206.9030
4755.7004 1150.0000 206.0563
4758.5648 1100.0000 205.6575
4766.3453 1050.0000 204.1231
4782.3697 1000.0000 205.6892
4800.0000 968.1256 205.3632
4811.2487 950.0000 205.3097
4850.0000 909.3091 207.2163
4863.4829 900.0000 207.3390
2419.8358 950.0000 118.0919
2450.0000 938.3639 121.9978
2500.0000 934.0454 121.6826
2550.0000 938.3272 121.4119
2580.4176 950.0000 117.4380
2600.0000 956.8450 114.9457
2640.9564 1000.0000 113.1180
2650.0000 1032.4612 114.0093
2655.4602 1050.0000 114.8545
2657.2082 1100.0000 114.0502
2654.3661 1150.0000 114.1902
2650.9167 1200.0000 113.7747
2650.0000 1215.9582 114.7165
2648.7760 1250.0000 112.6249
2647.4223 1300.0000 110.9150
2646.4240 1350.0000 109.9083
2645.6792 1400.0000 108.8906
2645.1179 1450.0000 107.9792
2644.6857 1500.0000 107.1882
2644.3488 1550.0000 106.5087
2644.0808 1600.0000 105.9293
2643.8653 1650.0000 105.4343
2643.6890 1700.0000 105.0112
2643.5436 1750.0000 104.6473
2643.4217 1800.0000 104.3335
2643.3190 1850.0000 104.0610
2643.2313 1900.0000 103.8233
2643.1560 1950.0000 103.6147
2643.0907 2000.0000 103.4309
2643.0338 2050.0000 103.2679
2642.9837 2100.0000 103.1229
2642.9395 2150.0000 102.9931
2642.9002 2200.0000 102.8765
2642.8652 2250.0000 102.7714
2642.8337 2300.0000 102.6762
2642.8054 2350.0000 102.5897
2642.7797 2400.0000 102.5110
2642.7565 2450.0000 102.4389
2642.7353 2500.0000 102.3729
2642.7159 2550.0000 102.3122
2642.6981 2600.0000 102.2562
